odonym,lat,lon
Ponte Vittorio Emanuele III,45.1025976,7.7635790
Vicolo Vittorio Emanuele III,45.2370752,8.3711259
Via Vittorio Emanuele III,45.4387094,8.4223183
Via Vittorio Emanuele III,45.4357110,8.4680810
Via Vittorio Emanuele III,45.4853930,8.4931049
Piazza Vittorio Emanuele III,45.4967128,8.4230392
Via Vittorio Emanuele III,44.2885839,7.8061345
Via Vittorio Emanuele III,44.3073271,7.1748527
Via Vittorio Emanuele III,44.4236593,7.7602966
Via Vittorio Emanuele III,44.4610776,7.6644233
Via Vittorio Emanuele III,44.6544792,7.3867246
Corso Vittorio Emanuele III,44.7617445,7.3151859
Via Vittorio Emanuele III,44.7614061,7.6807405
Piazza Vittorio Emanuele III,44.7285002,8.1451148
Piazza Vittorio Emanuele III,44.8246774,8.2416537
Via Vittorio Emanuele III,44.9374521,8.3446148
Via Vittorio Emanuele III,44.9738845,8.1004327
Via Vittorio Emanuele III,45.0067062,8.1130593
Piazza Vittorio Emanuele III,45.0497465,8.2062219
Via Vittorio Emanuele III,45.0601484,8.1781822
Piazza Vittorio Emanuele III,45.0834900,8.4423887
Piazza Vittorio Emanuele III,44.0763267,7.9976370
Via Vittorio Emanuele III,44.1426410,9.8893134
Via Vittorio Emanuele III,45.5785494,8.9778791
Piazza Vittorio Emanuele III,45.6522996,9.6059036
Via Vittorio Emanuele III,45.5934524,10.0393604
Via Vittorio Emanuele III,45.6110635,9.9886413
Via Vittorio Emanuele III,45.0655726,8.9535297
Via Vittorio Emanuele III,45.3626730,9.5556650
Piazza Vittorio Emanuele III,45.4051621,9.5526841
Piazza Vittorio Emanuele III,46.1548444,11.7331125
Via Vittorio Emanuele III,46.4062775,11.0926897
Via Vittorio Emanuele III,45.1793337,11.0671770
Via Vittorio Emanuele III,45.3249530,11.5871646
Piazza Vittorio Emanuele III,45.7850227,12.2193509
Via Vittorio Emanuele III,45.8169162,11.9645042
Piazza Vittorio Emanuele III,45.8377039,12.3801043
Via Vittorio Emanuele III,45.1895294,11.7131000
Via Vittorio Emanuele III,45.1879101,11.7180498
Via Vittorio Emanuele III,45.2680917,12.1034028
Via Vittorio Emanuele III,45.3983281,11.7801240
Via Vittorio Emanuele III,45.6000728,11.7303580
Ponte Vittorio Emanuele III,46.2437013,13.4058438
Corso Vittorio Emanuele III,43.3930052,13.1299185
Corso Vittorio Emanuele III,42.8976022,13.7942460
Via Vittorio Emanuele III,43.2006623,10.7364290
Piazza Vittorio Emanuele III,42.9206665,12.3991983
Viale Vittorio Emanuele III,42.5878782,12.2943734
Via Vittorio Emanuele III,42.1564731,12.1377960
Via Vittorio Emanuele III,42.3468984,12.3626604
viale Vittorio Emanuele III,42.4194104,12.2357815
Via Vittorio Emanuele III,42.4703932,12.2766721
Via Vittorio Emanuele III,42.4916963,12.2517877
Piazza Vittorio Emanuele III,42.5084777,11.7689528
Corso Vittorio Emanuele III,42.5505106,11.7279332
Corso Vittorio Emanuele III,42.6264135,11.8283844
Piazza Vittorio Emanuele III,42.1528495,13.2594703
Piazza Vittorio Emanuele III,42.2138071,12.7924877
Via Vittorio Emanuele III,42.2135548,12.7919906
Via Vittorio Emanuele III,42.3204743,12.6218230
Piazza Vittorio Emanuele III,42.3757535,12.7834792
Piazza Vittorio Emanuele III,41.8702113,12.8222502
Piazza Vittorio Emanuele III,41.8871673,13.1679866
Via Vittorio Emanuele III,42.0936769,12.2689037
Via Vittorio Emanuele III,42.0915432,12.5229699
Via Vittorio Emanuele III,42.0840669,12.9958516
Piazza Vittorio Emanuele III,42.1087138,12.8307297
Piazza Vittorio Emanuele III,42.1559052,12.2459747
Via Vittorio Emanuele III,42.2294646,12.5973843
Piazza Vittorio Emanuele III,42.2334798,12.5226248
Corso Vittorio Emanuele III,41.2635177,13.7487516
Corso Vittorio Emanuele III,41.2943878,13.0340756
Viale Vittorio Emanuele III,41.3572635,13.4297102
Via Vittorio Emanuele III,41.4917265,13.2691213
Via Vittorio Emanuele III,41.5528673,13.7788846
Via Vittorio Emanuele III,41.5991177,13.4965162
Piazza Vittorio Emanuele III,41.6783086,13.5518425
Piazza Vittorio Emanuele III,40.9727774,14.2088431
Via Vittorio Emanuele III,40.9726935,14.2067496
Piazza Vittorio Emanuele III,41.0347161,13.9421041
Piazza Vittorio Emanuele III,41.0413882,14.4226237
Viale Vittorio Emanuele III,41.0889916,14.5026848
Corso Vittorio Emanuele III,41.1326763,14.7739531
Corso Vittorio Emanuele III,41.2590861,14.7848793
Corso Vittorio Emanuele III,41.2864626,14.6927032
Piazza Vittorio Emanuele III,41.3263800,15.0110442
Corso Vittorio Emanuele III,41.4430462,14.9365624
Via Vittorio Emanuele III,40.5502353,14.2437233
Corso Vittorio Emanuele III,40.7046921,14.5442178
Corso Vittorio Emanuele III,40.7528413,14.4543817
Via Vittorio Emanuele III,40.7475541,14.4983209
Via Vittorio Emanuele III,40.8391250,14.2515739
Via Vittorio Emanuele III a Miano,40.8857023,14.2507074
Via Vittorio Emanuele III a Secondigliano,40.8934797,14.2623390
Piazza Vittorio Emanuele III,40.8715851,14.4380614
Via Vittorio Emanuele III,40.9159744,14.3526575
Via Vittorio Emanuele III,40.9052846,14.2664213
Corso Vittorio Emanuele III,40.9198585,14.4545316
Via Vittorio Emanuele III,40.9073533,14.1902056
Corso Vittorio Emanuele III,40.9228533,14.3048449
Corso Vittorio Emanuele III,40.9409463,14.2649355
Piazza Vittorio Emanuele III,40.9542871,14.5663453
Corso Vittorio Emanuele III,40.9556634,14.5285938
Piazza Vittorio Emanuele III,40.8776950,15.1864906
Piazza Vittorio Emanuele III,40.8715272,15.0271371
Corso Vittorio Emanuele III,40.9494224,14.6408769
Viale Vittorio Emanuele III,41.0097672,15.3754652
Via Vittorio Emanuele III,41.0548917,15.4269219
Corso Vittorio Emanuele III,41.0447196,14.8825477
Corso Vittorio Emanuele III,41.1185505,15.1593031
Corso Vittorio Emanuele III,41.2351810,15.0122725
Piazza Vittorio Emanuele III,40.1362648,15.5300754
Via Vittorio Emanuele III,40.1361151,15.5301886
Corso Vittorio Emanuele III,40.2778201,15.7050980
Via Vittorio Emanuele III,40.2323969,15.0930533
Corso Vittorio Emanuele III,40.3434467,15.3702633
Corso Vittorio Emanuele III,40.3427752,15.3746324
Via Vittorio Emanuele III,40.3409569,15.6579531
Vittorio Emanuele III,40.4002565,15.5942357
Corso Vittorio Emanuele III,40.4436753,15.2556909
Via Vittorio Emanuele III,40.6624429,15.1072357
Corso Vittorio Emanuele III,40.6822172,14.9806832
Piazza Vittorio Emanuele III,40.7002479,14.7069010
Via Vittorio Emanuele III,40.7734986,14.7455154
Corso Vittorio Emanuele III,41.7451052,14.0383007
Piazza Vittorio Emanuele III,41.9534473,13.6446487
Corso Vittorio Emanuele III,42.0225107,13.8620053
Via Vittorio Emanuele III,42.0580521,13.8329104
Via Vittorio Emanuele III,42.3099532,13.6885501
Corso Vittorio Emanuele III,42.5533042,13.5345235
Via Vittorio Emanuele III,42.2621498,14.0271567
Via Vittorio Emanuele III,42.3204598,14.0429078
Via Vittorio Emanuele III,42.4754696,13.9903681
Via Vittorio Emanuele III,41.9047049,14.2085097
Piazza Vittorio Emanuele III,41.9117015,14.3728235
Via Vittorio Emanuele III,41.9753413,14.6625664
Via Vittorio Emanuele III,42.0869631,14.6524840
Corso Vittorio Emanuele III,42.2547204,14.3220018
Corso Vittorio Emanuele III,42.2905265,14.1346707
Via Vittorio Emanuele III,41.4885892,14.8316357
Via Vittorio Emanuele III,41.4549917,14.6415316
Piazza Vittorio Emanuele III,41.5094415,14.9136820
Via Vittorio Emanuele III,41.5843040,14.5854455
Via Vittorio Emanuele III,41.6124282,14.7114788
Via Vittorio Emanuele III,41.6381620,14.5199794
Corso Vittorio Emanuele III,41.6896520,14.8079940
Corso Vittorio Emanuele III,41.6906787,14.6975390
Corso Vittorio Emanuele III,41.6888135,14.9623639
Rampa Vittorio Emanuele III,41.6926942,14.6039537
Corso Vittorio Emanuele III,41.7404899,14.8509772
Via Vittorio Emanuele III,41.8654046,14.6406712
Corso Vittorio Emanuele III,42.0028729,14.9974131
Corso Vittorio Emanuele III,41.1368073,15.5154269
Corso Vittorio Emanuele III,41.2564142,15.7321585
Via Vittorio Emanuele III,41.7097119,16.0510094
Piazza Vittorio Emanuele III,41.8046695,15.1587559
Via Vittorio Emanuele III,40.8880581,16.7690142
Via Vittorio Emanuele III,40.9149119,17.0209362
Via Vittorio Emanuele III,41.0035528,16.8006746
Vico Vittorio Emanuele III,41.0039444,16.8008972
Piazza Vittorio Emanuele III,40.9977092,16.6809223
Vico di Piazza Vittorio Emanuele III,40.9980924,16.6810769
Piazza Vittorio Emanuele III,41.0336253,16.9917138
Piazzale Vittorio Emanuele III,41.1378502,16.8382882
Piazza Vittorio Emanuele III,41.0405439,16.8476497
Lungomare Vittorio Emanuele III,40.4688225,17.2400726
Via Vittorio Emanuele III,40.4512738,17.5068019
Via Vittorio Emanuele III,40.5377986,17.4330908
Corso Vittorio Emanuele III,40.5748635,17.2063042
Via Vittorio Emanuele III,40.4191143,17.8415146
Corso Vittorio Emanuele III,40.6302150,17.6255289
Via Vittorio Emanuele III,40.6572558,17.7059559
Via Vittorio Emanuele III,40.4488148,17.9210251
Via Vittorio Emanuele III,39.9107432,18.1868872
Via Vittorio Emanuele III,39.9566781,18.2121474
Via Vittorio Emanuele III,39.9932362,18.2467927
Via Vittorio Emanuele III,39.9791073,18.0869630
Via Vittorio Emanuele III,40.0490683,18.1262187
Via Vittorio Emanuele III,40.0735663,18.1611279
Via Vittorio Emanuele III,40.1262450,18.1991775
Via Vittorio Emanuele III,40.1256737,18.4290155
Via Vittorio Emanuele III,40.1321922,18.1056322
Via Vittorio Emanuele III,40.1812477,18.0271380
Via Vittorio Emanuele III,40.2782272,18.0602702
Via Vittorio Emanuele III,40.3096029,18.1612285
Via Vittorio Emanuele III,40.3282381,18.0937543
Piazza Vittorio Emanuele III,40.3389525,18.0635953
Via Vittorio Emanuele III,40.3843864,17.9653145
Via Vittorio Emanuele III,40.3068847,16.0654205
Via Vittorio Emanuele III,40.3156432,15.7891820
Via Vittorio Emanuele III,40.5753136,15.7875195
Corso Vittorio Emanuele III,40.6779423,16.0821354
Via Vittorio Emanuele III,40.7315901,15.9242109
Via Vittorio Emanuele III,40.7469312,15.8813407
Corso Vittorio Emanuele III,40.7960983,15.9412375
Via Vittorio Emanuele III,40.9307109,15.9831645
Via Vittorio Emanuele III,40.8617386,16.0136131
Via Vittorio Emanuele III,40.9595601,15.8164568
Via Vittorio Emanuele III,41.0329598,15.9706877
Piazza Vittorio Emanuele III,40.1685125,16.4414908
Corso Vittorio Emanuele III,40.1881051,16.4254338
Salita Vittorio Emanuele III,40.5352204,16.1843663
Via Vittorio Emanuele III,39.0594541,16.4557306
Corso Vittorio Emanuele III,39.1106717,16.3048827
Via Vittorio Emanuele III,39.3581223,16.2130436
Via Vittorio Emanuele III,39.3417546,16.3106333
Corso Vittorio Emanuele III,39.3586508,16.1340968
Via Vittorio Emanuele III,39.4942838,15.9543266
Via Vittorio Emanuele III,39.5550860,16.1194870
Corso Vittorio Emanuele III,39.7215204,16.0899882
Via Vittorio Emanuele III,39.7440852,16.1229155
Via Vittorio Emanuele III,39.8464497,16.4533222
Via Vittorio Emanuele III,39.8597718,16.3824282
Via Vittorio Emanuele III,39.8176122,16.3870003
Corso Vittorio Emanuele III,39.8652754,16.5296986
Via Vittorio Emanuele III,39.8891282,16.3292475
Corso Vittorio Emanuele III,39.9244760,16.4702766
Via Vittorio Emanuele III,39.9587430,16.3802370
Via Vittorio Emanuele III,39.5982398,16.5208409
Corso Vittorio Emanuele III,38.5686509,16.5269309
Via Vittorio Emanuele III,38.6214655,16.5304377
Via Vittorio Emanuele III,38.6499582,16.3699720
Corso Vittorio Emanuele III,38.6806319,16.4382048
Corso Vittorio Emanuele III,38.7015868,16.4728085
Via Vittorio Emanuele III,38.7236345,16.4254872
Piazza Vittorio Emanuele III,38.7526426,16.4553590
Via Vittorio Emanuele III,38.7524236,16.4553730
Corso Vittorio Emanuele III,38.8382259,16.5186121
Piazza Vittorio Emanuele III,38.8885954,16.4070278
Via Vittorio Emanuele III,38.9134436,16.5144741
Salita Vittorio Emanuele III,38.9682430,16.7821030
Corso Vittorio Emanuele III,38.9709478,16.5243084
Via Vittorio Emanuele III,39.0127561,16.6280078
Via Vittorio Emanuele III in San Pietro Magisano,39.0113020,16.6118357
Via Vittorio Emanuele III,39.0554264,16.4559553
Via Vittorio Emanuele III in Castagna,39.0529417,16.4355998
Salita Vittorio Emanuele III,39.0440929,16.7564355
Via Vittorio Emanuele III,37.9892096,15.8440189
Via Vittorio Emanuele III,37.9671920,16.1048341
Corso Vittorio Emanuele III,38.1143120,15.6503910
Via Vittorio Emanuele III,38.0841759,15.7656271
Via Vittorio Emanuele III,38.1719805,16.1545861
Piazza Vittorio Emanuele III,38.2750021,15.9280378
Via Vittorio Emanuele III,38.1833132,15.7232473
Via Vittorio Emanuele III,38.2470751,16.1425476
Via Vittorio Emanuele III,38.2723506,16.1473875
Piazza Vittorio Emanuele III,38.2637912,15.8586329
Via Vittorio Emanuele III,38.2822450,15.8900341
Via Vittorio Emanuele III,38.3024745,15.8809151
Via Vittorio Emanuele III,38.3627848,16.2663607
Piazza Vittorio Emanuele III,38.3084749,16.0319047
Via Vittorio Emanuele III,38.3508453,16.0797754
Via Vittorio Emanuele III,38.3362906,16.3030414
Via Vittorio Emanuele III,38.4536425,16.5518837
Corso Vittorio Emanuele III,38.5131310,16.1707439
Via Vittorio Emanuele III,38.4113981,15.9562421
Via Vittorio Emanuele III,38.4297603,15.8994475
Via Vittorio Emanuele III,37.6343503,12.7481423
Via Vittorio Emanuele III,37.9683444,12.0728602
Via Vittorio Emanuele III,37.7472584,13.8292880
Via Vittorio Emanuele III,37.7492742,13.5977574
Via Vittorio Emanuele III,37.9144953,14.1899864
Via Vittorio Emanuele III,37.9856013,13.3267045
Piazza Vittorio Emanuele III,38.0784336,13.5067621
Piazza Vittorio Emanuele III,38.1312067,13.2328934
Via Vittorio Emanuele III,38.0225228,15.0164446
Piazza Vittorio Emanuele III,38.0562559,14.5883715
Galleria Vittorio Emanuele III,38.1942402,15.5537724
Piazza Vittorio Emanuele III,38.1138340,14.8821781
Via Vittorio Emanuele III,38.1150064,14.8823467
Corso Vittorio Emanuele III,38.0893447,15.1383296
Vico I Vittorio Emanuele III,38.0881674,15.1357400
Via Vittorio Emanuele III,38.1564817,15.3803317
Via Vittorio Emanuele III,38.0614532,15.0655887
Via Vittorio Emanuele III,38.1564053,14.8269830
Vicolo 1Â° Via Vittorio Emanuele III,38.1567438,14.8249889
Via Vittorio Emanuele III,38.1721972,15.4156968
Piazza Vittorio Emanuele III,38.2218090,15.3746797
Via Vittorio Emanuele III,38.8054741,15.2332882
Piazza Vittorio Emanuele III,37.1453498,14.3849857
Piazza Vittorio Emanuele III,37.3332620,13.9919337
Via Vittorio Emanuele III,37.5720214,13.7008515
Piazza Vittorio Emanuele III,37.6801183,14.0309747
Piazza Vittorio Emanuele III,37.6815239,13.8308476
Corso Vittorio Emanuele III,37.5661039,14.6899031
Via Vittorio Emanuele III,37.5963695,14.9816545
Via Vittorio Emanuele III,37.6008016,15.1521204
Piazza Vittorio Emanuele III,37.7543457,15.1439121
Via Vittorio Emanuele III,37.7925987,15.2067184
Via Vittorio Emanuele III,37.8070994,15.1796473
Corso Vittorio Emanuele III,37.5763955,15.1171248
Via Vittorio Emanuele III,37.0308604,14.7009308
Via Vittorio Emanuele III,37.0903701,14.7621610
Corso Vittorio Emanuele III,37.0613531,14.9012725
Via Vittorio Emanuele III,37.0277770,15.0725432
Corso Vittorio Emanuele III,37.2302256,14.8816043
Piazza Vittorio Emanuele III,37.2309858,14.8792938
Via Vittorio Emanuele III,37.2913537,14.9998539
Via Vittorio Emanuele III,40.3982864,8.7262304
Corso Vittorio Emanuele III,40.4199023,8.7716895
Via Vittorio Emanuele III,40.5047445,8.7245625
Piazza Vittorio Emanuele III,40.5838694,9.0046236
Via Vittorio Emanuele III,40.5840923,9.0035734
Vico A Vittorio Emanuele III,40.5842489,9.0039271
Via Vittorio Emanuele III,40.6511345,8.6652286
Via Vittorio Emanuele III,40.7858799,9.1668171
Piazza Vittorio Emanuele III,40.7772099,8.8118147
Via Vittorio Emanuele III,39.7925005,9.5184191
Via Vittorio Emanuele III,39.8100214,9.5005838
Via Vittorio Emanuele III,40.0354350,9.6409460
Corso Vittorio Emanuele III,40.2171204,9.2884005
Via Vittorio Emanuele III,40.2127143,9.2839059
Via Vittorio Emanuele III,40.2126937,8.8018912
Via Vittorio Emanuele III,40.2676368,8.7807433
Via Vittorio Emanuele III,40.2639954,8.8159410
Corso Vittorio Emanuele III,40.2844860,8.8423080
Viale Vittorio Emanuele III,41.4843869,14.0475900
Piazza Vittorio Emanuele III,41.6287030,14.0683198
Via Vittorio Emanuele III,41.6404980,14.2486854
Piazza Vittorio Emanuele III,41.6559130,14.0654134
Via Vittorio Emanuele III,41.6673402,14.0347205
Corso Vittorio Emanuele III,41.7164051,14.0699436
Via Vittorio Emanuele III,41.7907436,14.1821832
Corso Vittorio Emanuele III,41.8797573,14.2930903
Via Vittorio Emanuele III,39.7466456,8.7703145
Piazza Vittorio Emanuele III,39.9300124,8.5302633
Via Vittorio Emanuele III,39.9949857,8.8089015
Via Vittorio Emanuele III,39.9934694,8.5389341
Via Vittorio Emanuele III,40.0135826,8.5970427
Via Vittorio Emanuele III,40.0483620,8.5764040
Via Vittorio Emanuele III,40.1721518,8.9208367
Piazza Vittorio Emanuele III,40.2506477,8.5194381
Corso Vittorio Emanuele III,40.2148734,8.5879129
Via Vittorio Emanuele III,40.2677463,8.5399787
Vico B Vittorio Emanuele III,40.2678803,8.5396259
Via Vittorio Emanuele III,40.2618087,8.5259640
Corso Vittorio Emanuele III,40.2611049,8.5790400
Via Vittorio Emanuele III,40.3751934,8.5002241
Ponte Vittorio Emanuele III,45.8028024,9.4147072
Ponte Vittorio Emanuele III,45.8028024,9.4147072
Corso Vittorio Emanuele III,38.9605757,17.0974068
Via Vittorio Emanuele III,39.1588711,16.7792768
Via Vittorio Emanuele III,39.3132162,16.7770758
Via Vittorio Emanuele III,38.4480954,16.3470126
Corso Vittorio Emanuele III,38.4834812,16.3012869
Corso Vittorio Emanuele III,38.5159912,16.3202919
Corso Vittorio Emanuele III,38.5613915,16.2116958
Via Vittorio Emanuele III,38.5779287,16.3291409
Corso Vittorio Emanuele III,38.5153468,16.1652639
Via Vittorio Emanuele III,38.5736425,16.0253142
Via Vittorio Emanuele III,38.6071379,16.0685645
Piazza Vittorio Emanuele III,38.5649338,16.1971265
Via Vittorio Emanuele III,38.6166079,16.1010473
Corso Vittorio Emanuele III,38.6743611,16.0994799
Corso Vittorio Emanuele III,38.6820506,15.9237911
Via Vittorio Emanuele III,38.5916181,16.2331486
Via Vittorio Emanuele III,45.9906784,8.1493519
Piazza Vittorio Emanuele III,46.0621571,8.7002900
Piazza Vittorio Emanuele III,46.0976908,8.5663688
Via Vittorio Emanuele III,46.0971883,8.5648514
Via Vittorio Emanuele III,39.3015364,8.6684808
Via Vittorio Emanuele III,39.5495109,8.7890226
Corso Vittorio Emanuele III,39.5650155,8.9499413
Vico Chiuso Corso Vittorio Emanuele III,39.5645890,8.9480268
Vico I Corso Vittorio Emanuele III,39.5628447,8.9447497
Vico II Corso Vittorio Emanuele III,39.5645066,8.9474131
Vico IV Corso Vittorio Emanuele III,39.5645289,8.9484740
Vico V Corso Vittorio Emanuele III,39.5648111,8.9488069
Via Vittorio Emanuele III,39.5159901,9.2939860
Via Vittorio Emanuele III,39.6152454,8.8198825
Via Vittorio Emanuele III,39.6150332,9.1063122
Via Vittorio Emanuele III,39.6319772,8.8706553
Via Vittorio Emanuele III,39.6501614,8.8992466
Via Vittorio Emanuele III,39.6475913,9.0007219
Via Vittorio Emanuele III,39.6408682,8.8407559
Via Vittorio Emanuele III,39.6618620,8.9223960
Via Vittorio Emanuele III,39.6727100,8.8881068
Via Vittorio Emanuele III,39.7343499,9.0177869
